month,year,total_data_gb,active_storage_gb,long_term_storage_gb,active_cost,long_term_cost,total_monthly_cost
1,1,152.2,152.2,0.0,2.84,0.0,2.84
2,1,304.4,304.4,0.0,5.89,0.0,5.89
3,1,456.6,450.0,6.6,8.8,0.07,8.87
4,1,608.8,450.0,158.8,8.8,1.59,10.39
5,1,761.0,450.0,311.0,8.8,3.11,11.91
6,1,913.2,450.0,463.2,8.8,4.63,13.43
7,1,1065.4,450.0,615.4,8.8,6.15,14.95
8,1,1217.6,450.0,767.6,8.8,7.68,16.48
9,1,1369.8,450.0,919.8,8.8,9.2,18.0
10,1,1522.0,450.0,1072.0,8.8,10.72,19.52
11,1,1674.2,450.0,1224.2,8.8,12.24,21.04
12,1,1826.4,450.0,1376.4,8.8,13.76,22.56
13,2,1978.6,450.0,1528.6,8.8,15.29,24.09
14,2,2130.8,450.0,1680.8,8.8,16.81,25.61
15,2,2283.0,450.0,1833.0,8.8,18.33,27.13
16,2,2435.2,450.0,1985.2,8.8,19.85,28.65
17,2,2587.4,450.0,2137.4,8.8,21.37,30.17
18,2,2739.6,450.0,2289.6,8.8,22.9,31.7
19,2,2891.8,450.0,2441.8,8.8,24.42,33.22
20,2,3044.0,450.0,2594.0,8.8,25.94,34.74
21,2,3196.2,450.0,2746.2,8.8,27.46,36.26
22,2,3348.4,450.0,2898.4,8.8,28.98,37.78
23,2,3500.6,450.0,3050.6,8.8,30.51,39.31
24,2,3652.8,450.0,3202.8,8.8,32.03,40.83
25,3,3805.0,450.0,3355.0,8.8,33.55,42.35
26,3,3957.2,450.0,3507.2,8.8,35.07,43.87
27,3,4109.4,450.0,3659.4,8.8,36.59,45.39
28,3,4261.6,450.0,3811.6,8.8,38.12,46.92
29,3,4413.8,450.0,3963.8,8.8,39.64,48.44
30,3,4566.0,450.0,4116.0,8.8,41.16,49.96
31,3,4718.2,450.0,4268.2,8.8,42.68,51.48
32,3,4870.4,450.0,4420.4,8.8,44.2,53.0
33,3,5022.6,450.0,4572.6,8.8,45.73,54.53
34,3,5174.8,450.0,4724.8,8.8,47.25,56.05
35,3,5327.0,450.0,4877.0,8.8,48.77,57.57
36,3,5479.2,450.0,5029.2,8.8,50.29,59.09
37,4,5631.4,450.0,5181.4,8.8,51.81,60.61
38,4,5783.6,450.0,5333.6,8.8,53.34,62.14
39,4,5935.8,450.0,5485.8,8.8,54.86,63.66
40,4,6088.0,450.0,5638.0,8.8,56.38,65.18
41,4,6240.2,450.0,5790.2,8.8,57.9,66.7
42,4,6392.4,450.0,5942.4,8.8,59.42,68.22
43,4,6544.6,450.0,6094.6,8.8,60.95,69.75
44,4,6696.8,450.0,6246.8,8.8,62.47,71.27
45,4,6849.0,450.0,6399.0,8.8,63.99,72.79
46,4,7001.2,450.0,6551.2,8.8,65.51,74.31
47,4,7153.4,450.0,6703.4,8.8,67.03,75.83
48,4,7305.6,450.0,6855.6,8.8,68.56,77.36
49,5,7457.8,450.0,7007.8,8.8,70.08,78.88
50,5,7610.0,450.0,7160.0,8.8,71.6,80.4
51,5,7762.2,450.0,7312.2,8.8,73.12,81.92
52,5,7914.4,450.0,7464.4,8.8,74.64,83.44
53,5,8066.6,450.0,7616.6,8.8,76.17,84.97
54,5,8218.8,450.0,7768.8,8.8,77.69,86.49
55,5,8371.0,450.0,7921.0,8.8,79.21,88.01
56,5,8523.2,450.0,8073.2,8.8,80.73,89.53
57,5,8675.4,450.0,8225.4,8.8,82.25,91.05
58,5,8827.6,450.0,8377.6,8.8,83.78,92.58
59,5,8979.8,450.0,8529.8,8.8,85.3,94.1
60,5,9132.0,450.0,8682.0,8.8,86.82,95.62
