startTime,sport,duration,duration_seconds,distance,calories_numeric,kiloCalories
2025-01-01 19:31:50,CROSS-COUNTRY_SKIING,PT3668.500S,3668.5,12010.2001953125,749,749
2025-01-03 12:10:10,CROSS-COUNTRY_SKIING,PT6897.875S,6897.875,22564.099609375,1396,1396
2025-01-04 11:01:18,CROSS-COUNTRY_SKIING,PT4697.500S,4697.5,15570.5,1025,1025
2025-01-06 10:18:29,CROSS-COUNTRY_SKIING,PT4498.625S,4498.625,14839.599609375,946,946
2025-01-08 18:11:05,CROSS-COUNTRY_SKIING,PT7000.500S,7000.5,22212.0,1541,1541
2025-01-11 11:10:06,CROSS-COUNTRY_SKIING,PT6010.250S,6010.25,15905.400390625,1161,1161
2025-01-12 17:11:43,CROSS-COUNTRY_SKIING,PT2826.250S,2826.25,10301.0,657,657
2025-01-13 18:37:29,CROSS-COUNTRY_SKIING,PT5977.250S,5977.25,23929.900390625,1369,1369
2025-01-14 18:49:50,CROSS-COUNTRY_SKIING,PT4614.500S,4614.5,10701.400390625,707,707
2025-01-28 09:30:46,CROSS-COUNTRY_SKIING,PT3604S,3604.0,11423.2001953125,681,681
2025-01-29 18:43:23,CROSS-COUNTRY_SKIING,PT5325.750S,5325.75,18423.400390625,1157,1157
2025-01-30 19:35:11,CROSS-COUNTRY_SKIING,PT3536.625S,3536.625,10361.400390625,715,715
2025-01-31 14:26:48,CROSS-COUNTRY_SKIING,PT4586.500S,4586.5,14094.099609375,945,945
2025-02-02 10:29:19,CROSS-COUNTRY_SKIING,PT8496.875S,8496.875,30431.19921875,1871,1871
2025-02-03 18:35:18,CROSS-COUNTRY_SKIING,PT5021.250S,5021.25,14975.5,902,902
2025-02-04 19:09:55,CROSS-COUNTRY_SKIING,PT3258.375S,3258.375,11123.2001953125,662,662
2025-02-06 07:47:02,CROSS-COUNTRY_SKIING,PT5725.125S,5725.125,17639.30078125,1295,1295
2025-02-07 14:01:23,CROSS-COUNTRY_SKIING,PT6335.875S,6335.875,20023.0,1240,1240
2025-02-08 09:55:51,CROSS-COUNTRY_SKIING,PT8719S,8719.0,27436.0,1864,1864
2025-02-09 11:13:59,CROSS-COUNTRY_SKIING,PT4340.625S,4340.625,9024.099609375,593,593
2025-02-11 08:21:49,CROSS-COUNTRY_SKIING,PT4367.375S,4367.375,14670.7998046875,939,939
2025-02-11 18:08:20,CROSS-COUNTRY_SKIING,PT4406.250S,4406.25,10503.099609375,649,649
2025-02-12 18:12:23,CROSS-COUNTRY_SKIING,PT3629.375S,3629.375,12615.900390625,760,760
2025-02-14 15:08:14,CROSS-COUNTRY_SKIING,PT11402.250S,11402.25,38549.19921875,2630,2630
2025-02-15 16:13:39,CROSS-COUNTRY_SKIING,PT4440.250S,4440.25,10150.2001953125,599,599
2025-02-16 16:22:26,CROSS-COUNTRY_SKIING,PT4779.375S,4779.375,17721.19921875,955,955
2025-02-17 19:36:58,CROSS-COUNTRY_SKIING,PT2829.625S,2829.625,10793.7998046875,593,593
2025-02-19 13:15:12,CROSS-COUNTRY_SKIING,PT10528.125S,10528.125,40096.19921875,2390,2390
2025-02-21 17:16:16,CROSS-COUNTRY_SKIING,PT4002.750S,4002.75,15120.7001953125,895,895
2025-02-23 09:36:40,CROSS-COUNTRY_SKIING,PT3991S,3991.0,14774.7998046875,838,838
2025-03-01 19:24:44,CROSS-COUNTRY_SKIING,PT3419.625S,3419.625,11621.2001953125,810,810
2025-03-02 16:18:26,CROSS-COUNTRY_SKIING,PT5223.125S,5223.125,10246.7001953125,811,811
2025-03-03 10:36:34,CROSS-COUNTRY_SKIING,PT6071.500S,6071.5,9922.900390625,927,927
2025-03-03 14:59:55,CROSS-COUNTRY_SKIING,PT10219.375S,10219.375,28143.19921875,2181,2181
2025-03-04 11:20:12,CROSS-COUNTRY_SKIING,PT8724.750S,8724.75,15388.900390625,1131,1131
2025-03-06 11:08:38,CROSS-COUNTRY_SKIING,PT16548.375S,16548.375,33031.30078125,2173,2173
2025-03-07 10:38:51,CROSS-COUNTRY_SKIING,PT15375.625S,15375.625,34156.3984375,2280,2280
2025-03-09 15:07:22,CROSS-COUNTRY_SKIING,PT7096.875S,7096.875,30530.400390625,1561,1561
2025-03-10 19:03:14,CROSS-COUNTRY_SKIING,PT2692.125S,2692.125,6529.7998046875,313,313
2025-03-11 12:28:17,CROSS-COUNTRY_SKIING,PT11722.625S,11722.625,50517.19921875,2766,2766
2025-03-14 07:55:53,CROSS-COUNTRY_SKIING,PT3950.125S,3950.125,15823.2998046875,831,831
2025-03-15 09:42:07,CROSS-COUNTRY_SKIING,PT5846.875S,5846.875,21819.599609375,1250,1250
2025-03-16 11:25:40,CROSS-COUNTRY_SKIING,PT4007.500S,4007.5,15822.900390625,863,863
